Num,Name,AllKcal,OhKcal,W,P,F,C,S,Na,Chol,SF
1,국밥_돼지머리,1233,137,900,6.7,5.16,15.94,0.16,181,23.82,1.47
2,국밥_순대국밥,675,75,900,3.17,2.28,10.38,0.17,126,48.69,1.26
3,국밥_콩나물,405.6,52,780,1.45,0.24,10.93,0,172,0,0.12
4,김밥,322,140,230,4.84,4.55,19.98,0,307,19.3,1.1
5,덮밥_낙지,525,150,350,5.88,3.34,24.12,2.16,212,32.45,0.37
6,덮밥_불고기,728,182,400,6.6,5.31,26.96,0.07,253,15.83,1.4
7,덮밥_오징어,486,135,360,7.18,2.01,21.94,0.66,162,46.44,0.24
8,볶음밥,640.5,183,350,5.56,2.76,33.97,0,212,29.28,1.1
9,비빔밥,639,142,450,6.86,4.32,18.84,0.05,232,42.26,0.95
10,알밥,422.4,128,330,4.73,5.11,15.75,2.3,430,45.98,0.59
11,영양돌솥밥,644,184,350,3.43,2.87,36.06,0.63,6,0,0.61
12,오므라이스,692,173,400,6.5,7.23,20.54,3.19,433,86.99,1.38
13,짜장밥,573.4,122,470,4.27,4.72,15.57,0.03,236,5.75,0.58
14,잡채밥,825,150,550,4.02,3.42,25.79,0.05,227,5.91,0.41
15,짬뽕밥,648,72,900,3.2,1.4,11.65,1.34,234,15.78,0.23
16,초밥_모듬,608,160,380,9.66,1.59,26.72,1.4,142,19.43,0.41
17,초밥_유부초밥,388,194,200,5.78,5.77,29.82,1.99,386,3.12,0.69
18,카레라이스,518.4,108,480,3.11,1.4,20.74,0.16,210,2.79,0.44
19,콩나물밥,393.6,123,320,4.68,1.58,22.39,0.04,272,3.14,0.42
20,하이라이스,403.2,112,360,4.02,1.13,21.34,0,246,2.83,0.13
21,회덮밥_모듬,594.5,145,410,9.1,4.15,17.76,3.07,155,27.38,0.85
22,햄버거,528,264,200,12.85,13.98,21.67,3.13,450,45.2,4.42
23,햄버거_불고기버거,500,250,200,13.88,11.52,22.68,0.13,338,45.93,4.34
24,간짜장,625,125,500,5.12,4.89,15.13,0.86,455,6.05,0.8
25,국수_막국수,798,133,600,5.8,1.61,23.9,4.88,405,5.53,0.46
26,국수_비빔국수,510,102,500,3.01,0.95,20.47,4.11,239,1.01,0.2
27,국수_잔치국수,308,44,700,1.93,0.49,8.05,0.04,216,0.6,0.16
28,국수_쟁반막국수,535.5,119,450,6.68,4.56,12.81,8.12,513,18.97,0.88
29,냉면_물냉면,385,55,700,1.96,0.64,10.31,4.52,161,15.35,0.16
30,냉면_비빔냉면,500,100,500,5.67,2.64,13.35,4.02,177,47.34,0.54
31,냉면_회냉면_홍어,740,148,500,5.81,4.02,22.21,2.84,99,8.88,0.27
32,떡국,588,84,700,3.43,0.53,16.37,0.08,176,16.7,0.24
33,떡만두국,666,111,600,3.53,3.91,15.47,0.01,206,11.33,0.57
34,라면,451,82,550,1.72,2.28,13.65,0,283,0,0.82
35,만두국_사골,609,87,700,3.74,4,8.94,0.06,333,26.25,1.71
36,메밀국수_온면,220.5,63,350,3.14,0.29,12.06,0,194,0,0.12
37,수제비,377,58,650,2.31,0.52,11.08,0,142,12.85,0.15
38,우동_일식,1264,158,800,1.78,3.22,30.48,0.02,157,0,0.3
39,우동볶음,384,128,300,2.8,2.01,24.79,0.43,257,0,0.49
40,월남쌈,295,118,250,5.94,4.97,12.25,5.5,230,31.58,2.13
41,짜장면,528,88,600,2.69,2.22,14.37,6.07,307,2.05,0.38
42,짬뽕,464,58,800,2.79,1.54,8.26,1.57,181,10.52,0.25
43,쫄면,709.5,129,550,3.21,2.52,23.26,3.51,250,0,0.22
44,칼국수,539,77,700,3.3,0.49,14.9,0,220,17.14,0.2
45,콩국수,648,81,800,3.9,3.35,8.92,0.24,67,0,0.17
46,닭죽,176,44,400,2.68,0.57,7.14,0,117,7.45,0.33
47,오리죽,620,155,400,7.5,4.99,19.95,0,62,36.07,1.16
48,전복죽,316,79,400,1.82,3.73,9.62,0,158,8.62,0.19
49,채소죽,172,43,400,1.69,0.69,7.62,0.17,224,0,0.18
50,팥죽,324,81,400,3.17,0.19,16.66,0.02,127,0,0.07
51,호박죽,196,49,400,1.93,1.71,6.58,3.56,42,0,0.04
52,흑임자죽,244,61,400,1.1,4.73,3.64,0.75,159,0,0.28
53,갈비탕,361.8,54,670,8.51,2.06,0.4,0.11,199,31.46,0.79
54,감자국,84,21,400,0.9,0.26,3.67,0.85,215,0,0.03
55,곰탕,144,24,600,3.43,1.12,0.11,0,124,9.04,0.41
56,곰탕_우거지,87.5,25,350,2.37,0.6,2.6,0.33,225,1.71,0.14
57,김치국,92,23,400,1.34,0.76,2.63,0.03,208,4.78,0.19
58,김치국_콩나물,48,12,400,0.82,0.47,1.15,0.49,230,0.6,0.09
59,내장탕,426,71,600,5.82,4.52,1.68,0.05,216,63.89,1.78
60,달걀국,52,13,400,0.93,0.74,0.69,0,246,31.11,0.27
61,달걀탕_순두부,101.5,29,350,1.78,2.04,0.94,0,101,34.05,0.37
62,닭곰탕,331.5,51,650,7.51,1.42,2,0.3,170,36.02,0.3
63,도가니탕,200,40,500,8.35,0.33,0.82,0,150,18.34,0.13
64,무국_소고기,60,15,400,1.33,0.64,1.1,0,166,3.89,0.09
65,미역국,48,12,400,0.65,0.61,0.87,0.27,168,0,0.05
66,북어국,112,28,400,3.89,0.98,0.84,0.12,232,21.61,0.17
67,사골국,220,55,400,5.56,2.42,2.81,0,75,19.12,0.94
68,삼계탕,909,101,900,10.68,4.8,3.84,0.45,82,48.19,1.29
69,새우탕,165,33,500,5.17,0.44,2,0.06,268,32.73,0.09
70,설렁탕,120,24,500,4.26,0.58,0.36,0,22,6.97,0.23
71,순대국,510,85,600,2.35,1.75,14.95,0.26,330,9.67,0.5
72,어묵국(어묵탕),108.5,31,350,1.49,1.03,3.83,0.07,226,2.45,0.07
73,오징어국,90,18,500,2.22,0.73,0.73,0.24,257,31.88,0.08
74,육개장,132,30,440,3.68,0.99,1.49,0.76,201,10.86,0.17
75,육개장_닭고기,140,20,700,2.74,0.42,1.41,0.57,167,9.55,0.15
76,장어탕,536,67,800,4.32,3.91,3.68,2.66,387,33.75,0.63
77,재첩국,80.5,23,350,0.67,0.29,4.54,0,126,4.27,0.01
78,조개국,64,16,400,1.67,0.89,0.25,0.18,297,4.01,0.05
79,콩나물국,24,6,400,0.74,0.09,0.61,0.16,219,0.73,0.03
80,토란국,64,16,400,1,0.12,2.61,0.27,190,1.12,0.04
81,해장국_뼈다귀,208,26,800,3.19,0.97,1.06,0.63,346,9.45,0.21
82,해장국_선지,174,29,600,3.86,0.96,1.23,0,312,29.05,0.13
83,갈치찌개,95,38,250,5.27,1,1.95,0.98,91,15.04,0.3
84,감자탕,376.3,71,530,6.31,4.06,2.27,0,328,38.53,1.16
85,김치전골,197.1,73,270,3.12,4.23,5.68,0.79,299,7.43,0.67
86,김치찌개_돼지고기,90,45,200,4.25,2.71,1.04,0.05,207,7.11,0.48
87,김치찌개_참치,153,51,300,3.59,2.82,2.9,0.15,264,6.54,0.26
88,꽃게탕,102,17,600,1.86,0.41,1.44,0.95,273,2.61,0.04
89,낙지전골,153,51,300,6.5,1.14,3.72,0,484,51.44,0.33
90,동태국,68,17,400,2.42,0.16,1.4,0,224,11.46,0.02
91,동태찌개,88,44,200,6.11,1.37,1.72,0.13,273,26.68,0.2
92,돼지고기찌개,144,48,300,6.25,1.51,2.26,0.13,255,10.95,0.21
93,된장찌개,92,46,200,3.38,1.63,4.44,0,318,0,0.27
94,매운탕_대구,132,22,600,4.49,0.4,0.19,0,250,19.2,0.15
95,매운탕_해물,210,35,600,4.85,0.64,2.51,0.45,368,47.65,0.18
96,버섯전골,234,78,300,5.14,4.24,4.78,1.18,146,12.33,0.98
97,부대찌개,738,123,600,5.86,6.49,10.27,0.18,239,11.05,1.68
98,샤브샤브_버섯,105,30,350,3.88,0.9,1.57,0.53,51,7.55,0.62
99,샤브샤브_소고기,258,43,600,5.38,1.62,1.8,1.49,96,11.9,0.18
100,소고기전골,189,63,300,7.89,3.24,0.46,0.05,299,16.08,0.69
101,순두부찌개_김치,70,35,200,2.98,1.59,2.17,0.32,151,4.6,0.46
102,알탕,202.8,39,520,6.37,0.74,1.74,0,250,80.81,0.16
103,오리백숙,336,112,300,10.59,7.5,0.5,0.25,161,51.85,1.56
104,오리탕,726,121,600,9.5,6.56,6.08,3.58,317,38.47,1.33
105,오징어찌개,85,34,250,3.3,0.22,4.77,0.45,285,26.34,0.05
106,청국장찌개,94,47,200,5.03,2.11,1.92,0,242,2.61,0.45
107,추어탕,189,54,350,3.24,3.18,3.07,0,246,15.84,0.31
108,콩비지찌개,276,69,400,6.74,3.08,3.57,3.25,289,7.12,0.51
109,호박찌개_고추장,114.8,41,280,2.08,0.99,5.96,0.56,211,0,0.1
110,고구마_찐고구마,278,139,200,1.67,0.24,32.47,16.32,10,0,0.05
111,가오리찜,204,102,200,21.99,1.39,0.46,0.06,151,91.28,0.26
112,갈비찜_소고기,255,85,300,7.25,3.17,6.95,0.75,272,33.38,0.85
113,감자_찐감자,140,70,200,2.16,0.16,15.01,0.86,3,0,0.03
114,깻잎찜,97,97,100,5.21,5.86,5.96,1.33,792,0,0.46
115,꼬막찜,192,96,200,12.03,2.28,6.97,1.03,736,38.3,0.59
116,꽈리고추찜,104,104,100,3.59,2.09,17.69,0.44,316,0,0.37
117,달걀찜_새우젓,116,58,200,4.98,4.04,0.47,0,247,189.26,1.22
118,달걀찜_우유,210,105,200,8.23,6.31,3.8,2.55,262,169.58,2.5
119,닭찜,321,107,300,12.37,6.09,0.6,0,224,66.22,0.98
120,돼지갈비찜,582,194,300,13.29,12.32,7.44,0.13,478,50.07,3.68
121,사태찜_소고기,330,110,300,12.1,5.17,3.67,0.13,302,94.95,1.13
122,수육_소고기,498,166,300,28.43,4.94,2.04,0.11,31,88.3,1.89
123,순대,411.4,187,220,2.75,3.64,35.73,1.39,604,26.24,1.12
124,아귀찜,168,84,200,6.72,3.13,7.26,2.73,392,51.39,0.48
125,애호박찜,181,181,100,9.5,6.48,21.18,1.81,161,12.54,1.44
126,옥수수_찐옥수수,370,185,200,6.68,2.42,34.2,2.36,90,0,0.29
127,족발,582.5,233,250,26.04,13.91,0.93,0,345,91.72,4.66
128,코다리찜,188,94,200,14.49,1.35,6.08,2.5,620,60.96,0.31
129,콩나물찜_해물,112,56,200,6.67,1.01,4.97,0,223,64.85,0.21
130,풋고추찜,51,51,100,2.31,0.99,8.27,1.44,708,0,0.14
131,가자미구이,246,123,200,18.7,5.02,0.66,0,315,84.33,0.82
132,갈비구이_소고기,723,241,300,25.91,14.55,1.59,0.26,402,77.75,5.62
133,갈치구이_기름,276,138,200,21.54,5.48,0.6,0,297,87.96,1.31
134,고등어구이_석쇠,680,340,200,23.38,25.69,3.79,0,126,53.09,6.95
135,삼겹살구이,934,467,200,22.56,41.69,0.35,0,576,39.72,12.42
136,삼겹살구이_고추장,806,403,200,14.21,32.83,12.63,5.73,510,35.52,13.1
137,삼치구이,356,178,200,21.42,9.57,1.45,0.22,217,79.38,2.02
138,새우구이,261,145,180,23.41,4.44,2.82,0.03,330,233.98,0.74
139,소불고기,340,170,200,16.41,9.66,4.26,3.24,418,50.02,3.26
140,스테이크_소등심,388,194,200,30.22,8.07,0.14,0,134,84.18,3.85
141,스테이크_소안심,366,183,200,34.82,4.83,0.13,0,103,80.25,0.22
142,오리고기구이,586,293,200,24.06,19.7,4.89,0,708,132.33,4.82
143,오리불고기,362.5,145,250,6.75,9.05,9.05,6.29,467,31.13,2.04
144,장어구이_고추장,259,259,100,19.82,17.21,6.18,0.44,322,131.89,4.68
145,조개구이_키조개,234,130,180,17.43,2.07,10.44,3.6,454,25.29,0.09
146,조기구이,318.6,177,180,19.33,10.86,0.44,0,1364,91.79,3.08
147,참치구이_머리,347.4,193,180,26.56,8.98,1.4,0,459,116.49,2.76
148,함박스테이크,348,174,200,12.1,10.73,7.19,0.06,198,46.73,3.3
149,곱창볶음_돼지고기,299,130,230,7.23,3,18.52,3.27,215,76.08,1.05
150,낙지볶음,182,91,200,5.77,3.77,8.6,7.91,537,44.76,0.44
151,닭볶음(닭갈비),558,186,300,13.98,10.96,7.93,0.77,338,49.32,1.92
152,닭볶음(닭갈비)_닭가슴살_피망,97.6,122,80,16.39,5.65,1.38,0.29,490,50.36,0.65
153,돼지고기볶음_김치,370.3,161,230,11.81,10.05,5.93,2.9,510,35.12,2.99
154,돼지고기볶음_채소,388.7,169,230,16.57,7.59,8.63,6.67,346,46.71,2.58
155,돼지고기볶음(제육볶음),487.5,195,250,12.15,14.19,4.73,0.38,501,45.6,4.18
156,떡볶이,259.2,144,180,3.51,2.96,25.96,4.4,391,2.34,0.28
157,라볶이,268,134,200,2.83,4.71,20.14,0.94,311,2.52,1.47
158,마파두부,174.4,109,160,7.29,6.48,5.36,2.45,352,6.79,1.04
159,삼겹살볶음_묵은지김치,302,151,200,5.76,10.49,8.4,3.62,604,13.36,3.36
160,오징어볶음,256,128,200,9.85,6.52,7.43,1.93,310,109.18,1
161,유산슬,189.2,86,220,7.54,4.4,4.1,2.15,211,30.27,0.78
162,팔보채,198,90,220,12.42,2.9,3.42,2.09,856,50.98,0.39
163,고등어조림,141,141,100,11.25,8.84,4.1,3.39,390,30.05,2.14
164,꽁치조림,244,244,100,15.52,17.87,5.14,4.05,350,32.81,3.52
165,닭볶음탕,333,111,300,11.91,3.22,8.52,0.42,376,42.44,1.19
166,닭조림,295.5,197,150,18.03,10.9,6.57,0.5,470,70.32,2.73
167,닭조림_고추장,380,152,250,9.12,6.94,13.25,2.04,290,48.95,2.05
168,코다리조림,86,86,100,16.46,0.4,4.16,3.67,466,66.8,0.17
169,샐러드_닭가슴살,202.5,135,150,7.17,9.49,5.36,3.25,88,10.85,1.21
170,꽃게장_양념(고추가루),194,97,200,10.23,0.61,12.61,8.77,804,46.16,0.24
171,육회,195,130,150,9.93,6.43,8.12,5.29,418,28.09,2.11
172,오므라이스_수플레 오믈렛 라이스,405.81,167,243,4.94,,,2.47,490,,2.63
173,버거_1955 버거,572.88,217,264,10.98,11.36,18.18,5.68,352,22.35,3.79
174,버거_NBB 시그니처 버거,530.37,249,213,9.86,15.49,17.37,4.23,534,37.56,4.23
175,버거_NBB 어메이징 버거,724.74,257,282,11.35,17.73,13.12,3.19,508,47.52,5.32
176,버거_NBB 오리지널 버거,438.48,232,189,8.99,13.76,18.52,4.23,340,23.28,3.17
177,버거_간장마늘싸이 버거,590.24,248,238,11.34,,,6.72,561,,3.24
178,버거_그릴드불고기 버거,426.4,260,164,9.76,14.02,23.78,7.32,426,23.78,3.05
179,버거_기네스머쉬룸와퍼 버거,765.51,237,323,11.46,,,4.24,350,,4.21
180,버거_기네스와퍼 버거,779.38,266,293,12.29,,,4.06,389,,4.88
181,버거_기네스콰트로치 와퍼 버거,888.3,270,329,12.77,,,4.22,432,,6.53
182,버거_내슈빌핫치킨 버거,670.17,251,267,11.24,,,5.62,598,,4.31
183,버거_뉴욕 버거,531.18,234,227,11.45,,,4.85,350,,3.52
184,버거_다이어트싱글 버거,270.6,110,246,6.5,,,2.03,332,,3.25
185,버거_더블X2 버거,729.6,320,228,10.96,,,3.07,487,,10.92
186,버거_더블불고기 버거,635.16,268,237,10.97,16.03,20.25,6.33,421,17.72,5.49
187,버거_더블빅맥 버거,803,275,292,14.73,,,2.4,369,,5.82
188,버거_더블스테이크 버거,549.4,205,268,11.57,,,3.73,393,,2.61
189,버거_더블와퍼 버거,842.4,234,360,12.5,,,2.92,333,,5.56
190,버거_더블치즈 버거 (L),936,300,312,17.05,,,3.79,486,,8.26
191,버거_더블치즈 버거 (R),685.44,252,272,15.3,,,2.08,348,,6.27
192,버거_더블치즈 버거,479.29,287,167,16.17,14.97,23.35,4.79,537,35.93,7.19
193,버거_더블쿼터파운더치즈 버거,770,280,275,18.18,16.36,15.64,3.64,419,39.64,7.27
194,버거_데리마요 버거,449.08,218,206,9.22,,,5.34,441,,2.43
195,버거_데리버거,356.44,266,134,8.96,,,7.46,458,,4.93
196,버거_딥치즈 버거,604.15,215,281,14.95,10.07,16.01,4.27,425,33.1,3.56
197,버거_롱치킨 버거,571.2,272,210,11.9,,,2.71,524,,2.62
198,버거_리아미라클 버거,569.7,270,211,9,,,6.64,403,,4.83
199,버거_맥치킨 버거,523.24,254,206,10.19,13.59,23.3,3.4,526,20.39,1.46
200,버거_맥치킨모짜렐라 버거,744.22,254,293,10.58,12.29,25.94,6.14,595,18.43,2.39
201,버거_메가바이트 버거,656.64,304,216,8.8,20.37,21.76,3.24,458,32.41,3.24
202,버거_모짜렐라인더 버거 베이컨,716.04,324,221,13.57,,,2.26,414,,8.46
203,버거_몬스터와퍼 버거,1055.01,253,417,12.47,,,4.05,451,,5.54
204,버거_미트마니아 버거,750.3,246,305,12.13,15.74,13.77,2.95,589,40.98,4.26
205,버거_바비큐 버거,448.8,220,204,9.31,,,5.39,364,,1.96
206,버거_바비큐킹치킨 버거,467.04,278,168,11.31,,,2.26,465,,3.21
207,버거_베이컨더블치즈 버거,768.6,244,315,13.97,,,1.27,441,,6.35
208,버거_베이컨치즈 버거 (L),744.8,266,280,12.2,,,6.48,453,,7.2
209,버거_베이컨치즈 버거 (R),508.2,220,231,10.91,,,4.41,532,,4.69
210,버거_베이컨치즈와퍼 버거,781.2,248,315,11.75,,,2.38,434,,6.03
211,버거_베이컨토마토디럭스 버거,570.57,231,247,11.74,11.34,21.86,5.67,378,25.1,4.45
212,버거_불고기 4DX 버거,506.25,225,225,11.56,,,4,407,,3.87
213,버거_불고기더블치즈 버거,639.56,236,271,14.02,,,3.32,439,,5.54
214,버거_불고기롱치킨 버거,603.2,260,232,10.34,,,4.31,548,,2.28
215,버거_불고기몬스터 버거,632.1,258,245,13.06,,,4.49,501,,3.96
216,버거_불고기 버거,444.6,247,180,8.33,10.56,11.67,6.67,431,17.22,3.78
217,버거_불고기 버거,475.64,253,188,10.64,,,5.32,414,,3.72
218,버거_불고기 버거,403.44,246,164,8.54,11.04,28.05,8.54,375,14.02,3.11
219,버거_불고기 버거,409.15,245,167,8.38,11.98,26.35,8.38,401,10.78,3.59
220,버거_불고기 버거,371,265,140,12.14,,,7.07,309,,5.71
221,버거_불고기 버거,408.12,228,179,11.17,,,1.68,227,,4.47
222,버거_불고기와퍼 버거,689.29,229,301,9.63,,,5.58,294,,3.32
223,버거_불고기와퍼주니어 버거,396.88,242,164,10.37,,,5.18,334,,3.05
224,버거_불싸이 버거,542.8,236,230,12.17,10.17,23.91,6.52,501,30.43,3
225,버거_블랙라벨더블다운맥스 버거,851.2,266,320,15,,,1.88,450,,4.91
226,버거_블랙라벨폴인치즈 버거,726,242,300,11.33,,,3.33,423,,4.97
227,버거_비프불고기 버거,395.01,231,171,12.28,,,5.26,398,,2.34
228,버거_빅맥 버거,582.03,261,223,12.11,13.9,22.42,3.59,404,25.56,4.93
229,버거_빅불 버거,761.4,282,270,13.33,,,4.44,507,,5.93
230,버거_사각새우 더블 버거,555.36,267,208,8.17,,,3.37,463,,2.45
231,버거_산체스 버거,424.06,182,233,8.15,,,4.29,419,,3
232,버거_살사리코 버거,655.65,235,279,11.11,,,4.3,486,,4.16
233,버거_새우 버거,492.25,275,179,8.38,,,3.91,453,,2.63
234,버거_새우불고기 버거,599.76,238,252,7.54,11.23,26.59,7.94,418,14.68,2.5
235,버거_쉬림프페퍼로니모짜 버거 (R),662.64,251,264,9.3,,,4.55,249,,4.13
236,버거_슈림프 버거,473,215,220,5.91,,,1.36,318,,3.64
237,버거_슈비 버거,540.69,201,269,7.43,8.55,23.79,5.58,372,23.42,1.86
238,버거_슈슈 버거,409.92,183,224,5.36,6.25,26.79,5.8,361,17.86,0.76
239,버거_스리라차치킨 버거,521.02,239,218,11.47,11.01,23.85,8.26,517,37.16,2.29
240,버거_스모키살사 버거,449.35,209,215,8.84,11.63,17.21,4.65,474,32.56,3.26
241,버거_스위트 핫도그,442.8,205,216,12.5,,,6.02,640,,1.85
242,버거_스태커2와퍼 버거,1081.2,255,424,13.68,,,2.1,431,,6.91
243,버거_스태커3와퍼 버거,1419.84,261,544,15.44,,,2.1,470,,7.74
244,버거_스태커4와퍼 버거,1709.5,263,650,16.15,,,1.83,472,,7.97
245,버거_시그니처더블 버거,739.9,245,302,12.25,,,4.64,351,,4.97
246,버거_시그니처싱글 버거,489.06,198,247,9.72,,,3.64,284,,4.05
