Num,Name,Ca,,, 
1,국밥_돼지머리,D,,,
2,국밥_순대국밥,D,,,
3,국밥_콩나물,D,,,
4,김밥,D,,,
5,덮밥_낙지,D,,,
6,덮밥_불고기,D,,,
7,덮밥_오징어,D,,,
8,볶음밥,D,,,
9,비빔밥,D,,,
10,알밥,D,,,
11,영양돌솥밥,D,,,
12,오므라이스,D,,,
13,짜장밥,B,,,
14,잡채밥,B,,,
15,짬뽕밥,B,,,
16,초밥_모듬,A,,,
17,초밥_유부초밥,A,,,
18,카레라이스,A,,,
19,콩나물밥,D,,,
20,하이라이스,A,,,
21,회덮밥_모듬,D,,,
22,햄버거,E,,,
23,햄버거_불고기버거,E,,,
24,간짜장,B,,,
25,국수_막국수,D,,,
26,국수_비빔국수,D,,,
27,국수_잔치국수,D,,,
28,국수_쟁반막국수,D,,,
29,냉면_물냉면,D,,,
30,냉면_비빔냉면,D,,,
31,냉면_회냉면_홍어,D,,,
32,떡국,D,,,
33,떡만두국,D,,,
34,라면,D,,,
35,만두국_사골,D,,,
36,메밀국수_온면,D,,,
37,수제비,D,,,
38,우동_일식,A,,,
39,우동볶음,A,,,
40,월남쌈,F,,,
41,짜장면,B,,,
42,짬뽕,B,,,
43,쫄면,D,,,
44,칼국수,D,,,
45,콩국수,D,,,
46,닭죽,D,,,
47,오리죽,D,,,
48,전복죽,D,,,
49,채소죽,D,,,
50,팥죽,D,,,
51,호박죽,D,,,
52,흑임자죽,D,,,
53,갈비탕,D,,,
54,감자국,D,,,
55,곰탕,D,,,
56,곰탕_우거지,D,,,
57,김치국,D,,,
58,김치국_콩나물,D,,,
59,내장탕,D,,,
60,달걀국,D,,,
61,달걀탕_순두부,D,,,
62,닭곰탕,D,,,
63,도가니탕,D,,,
64,무국_소고기,D,,,
65,미역국,D,,,
66,북어국,D,,,
67,사골국,D,,,
68,삼계탕,D,,,
69,새우탕,D,,,
70,설렁탕,D,,,
71,순대국,D,,,
72,어묵국(어묵탕),D,,,
73,오징어국,D,,,
74,육개장,D,,,
75,육개장_닭고기,D,,,
76,장어탕,D,,,
77,재첩국,D,,,
78,조개국,D,,,
79,콩나물국,D,,,
80,토란국,D,,,
81,해장국_뼈다귀,D,,,
82,해장국_선지,D,,,
83,갈치찌개,D,,,
84,감자탕,D,,,
85,김치전골,D,,,
86,김치찌개_돼지고기,D,,,
87,김치찌개_참치,D,,,
88,꽃게탕,D,,,
89,낙지전골,D,,,
90,동태국,D,,,
91,동태찌개,D,,,
92,돼지고기찌개,D,,,
93,된장찌개,D,,,
94,매운탕_대구,D,,,
95,매운탕_해물,D,,,
96,버섯전골,D,,,
97,부대찌개,D,,,
98,샤브샤브_버섯,D,,,
99,샤브샤브_소고기,D,,,
100,소고기전골,D,,,
101,순두부찌개_김치,D,,,
102,알탕,D,,,
103,오리백숙,D,,,
104,오리탕,D,,,
105,오징어찌개,D,,,
106,청국장찌개,D,,,
107,추어탕,D,,,
108,콩비지찌개,D,,,
109,호박찌개_고추장,D,,,
110,고구마_찐고구마,D,,,
111,가오리찜,D,,,
112,갈비찜_소고기,D,,,
113,감자_찐감자,D,,,
114,깻잎찜,D,,,
115,꼬막찜,D,,,
116,꽈리고추찜,D,,,
117,달걀찜_새우젓,D,,,
